# fw=nextui workload=menuidle start=2026-09-13 22:27:19 gov=performance max0=2000000 devfreq=none,none backlight=none gpu_pm=/sys/devices/platform/7001000.gpu-power-domain/power/runtime_status
elapsed_s,cpu_mc,gpu_mc,ddr_mc,bat_mc,cur_khz,cpu_pct,batt_pct,batt_uv,status,c0_busy,c1_busy,c2_busy,c3_busy,irq_s,ctxt_s,df0_hz,df1_hz,backlight,fb_blank,gpu_pm
11175,35872,37011,36341,29500,1416000,3.4,51,3642000,Discharging,5.6,1.8,3.7,2.3,1674,1629,,,,,unsupported
11177,35604,37011,36274,29500,1800000,3.5,51,3641000,Discharging,4.7,2.3,2.3,4.2,1406,1430,,,,,unsupported
11179,35671,36743,36341,29500,1416000,3.4,51,3641000,Discharging,4.7,2.3,2.3,4.6,1352,1423,,,,,unsupported
11181,35537,36810,36475,29500,1416000,3.4,51,3639000,Discharging,2.8,2.8,1.4,6.0,1387,1410,,,,,unsupported
11183,35939,36810,36140,29500,1416000,3.5,51,3642000,Discharging,4.7,4.6,1.9,2.8,1385,1412,,,,,unsupported
11186,35537,37078,36140,29500,1800000,2.9,51,3642000,Discharging,4.2,1.4,2.3,4.7,1176,1179,,,,,unsupported
11188,35738,37145,36609,29400,1416000,3.1,51,3642000,Discharging,3.3,2.4,2.4,3.3,1362,1394,,,,,unsupported
11190,35738,37078,36341,29400,1800000,3.3,51,3642000,Discharging,1.9,3.7,2.3,5.6,1425,1431,,,,,unsupported
11192,35872,36676,36341,29500,1608000,2.8,51,3642000,Discharging,3.3,1.4,4.2,1.9,1483,1665,,,,,unsupported
11194,35671,36810,36140,29400,1800000,3.0,51,3624000,Discharging,4.2,1.9,3.3,2.8,1539,1713,,,,,unsupported
11196,35738,36944,36609,29400,1800000,3.2,51,3641000,Discharging,2.8,1.9,1.9,6.5,1524,1478,,,,,unsupported
11199,35939,37011,36408,29400,1416000,3.1,51,3641000,Discharging,2.9,4.6,0.9,2.8,915,941,,,,,unsupported
11201,35604,37078,36341,29400,1608000,3.2,51,3641000,Discharging,4.7,1.9,2.8,3.7,1478,1452,,,,,unsupported
11203,35470,36944,36274,29400,1416000,3.4,51,3641000,Discharging,3.3,6.0,1.9,2.3,1558,1744,,,,,unsupported
11205,35470,36944,36341,29400,1416000,2.7,51,3641000,Discharging,2.4,2.4,3.3,2.8,1393,1432,,,,,unsupported
11207,35403,36944,36475,29400,1800000,3.1,51,3640000,Discharging,3.3,3.7,2.3,3.8,1678,1758,,,,,unsupported
11209,35470,36944,36408,29500,1800000,3.3,51,3629000,Discharging,2.8,2.3,0.9,6.5,1449,1642,,,,,unsupported
11212,35939,36810,36475,29400,1800000,3.0,51,3641000,Discharging,2.4,3.3,4.2,2.8,902,948,,,,,unsupported
11214,35336,36877,36475,29400,1416000,3.1,51,3641000,Discharging,3.7,2.8,2.8,2.8,1576,1726,,,,,unsupported
11216,35671,37279,36207,29400,1608000,3.9,50,3642000,Discharging,7.1,2.3,2.3,4.2,1836,2067,,,,,unsupported
11218,35604,36810,36609,29400,1416000,3.2,50,3641000,Discharging,4.7,2.8,2.8,2.8,1420,1534,,,,,unsupported
11220,35470,36877,36542,29400,1416000,3.0,50,3641000,Discharging,3.3,2.3,3.3,2.4,1542,1782,,,,,unsupported
11222,35604,37011,36408,29400,1416000,3.6,50,3641000,Discharging,2.8,3.2,5.9,2.3,1492,1634,,,,,unsupported
11225,35470,36542,36408,29400,1416000,3.3,50,3640000,Discharging,5.1,3.3,2.8,1.9,907,942,,,,,unsupported
11227,35939,37145,36341,29400,1800000,2.8,50,3640000,Discharging,4.2,1.4,2.8,2.4,1474,1475,,,,,unsupported
11229,35470,37078,36207,29400,1416000,2.7,50,3640000,Discharging,2.8,1.9,3.7,3.3,1430,1758,,,,,unsupported
11231,35403,36944,36207,29400,1416000,3.4,50,3640000,Discharging,4.2,1.9,1.9,5.0,1640,1763,,,,,unsupported
11233,35403,36944,36408,29400,1416000,3.2,50,3639000,Discharging,3.3,2.3,1.4,5.1,1358,1406,,,,,unsupported
11235,35403,36810,36341,29400,1416000,2.8,50,3640000,Discharging,3.8,2.3,2.3,3.8,1354,1416,,,,,unsupported
11238,35537,36877,36207,29400,1800000,3.4,50,3621000,Discharging,4.2,3.7,2.8,2.3,1027,983,,,,,unsupported
11240,35671,36676,36475,29400,1416000,3.2,50,3640000,Discharging,2.4,5.6,1.9,2.8,1416,1426,,,,,unsupported
11242,35604,36944,36542,29400,1416000,3.0,50,3641000,Discharging,2.9,1.4,1.4,6.4,1308,1410,,,,,unsupported
11244,35738,36877,36341,29400,1416000,3.5,50,3640000,Discharging,3.3,4.7,1.4,4.7,1384,1432,,,,,unsupported
11246,35872,36877,36207,29400,1800000,2.5,50,3640000,Discharging,2.4,4.1,1.9,1.9,1418,1452,,,,,unsupported
11248,35336,36944,36475,29400,1608000,2.9,50,3640000,Discharging,5.1,2.3,1.9,2.8,1480,1468,,,,,unsupported
11250,35269,36944,36207,29400,1800000,2.9,50,3640000,Discharging,1.9,3.8,2.3,2.3,1375,1440,,,,,unsupported
11253,35269,36944,36006,29400,1800000,3.2,50,3629000,Discharging,3.3,4.2,2.3,2.8,924,935,,,,,unsupported
